ts,script,url,status,category,note
2025-09-03 22:39:16,html_fetcher,https://marvel.fandom.com/wiki/Avengers_Academy_TPB_Vol_1,503,request_exception,HTTP 503
2025-09-03 22:39:16,html_fetcher,https://marvel.fandom.com/wiki/Avengers_Academy_TPB_Vol_1,503,skipped,HTTP 503 (skipped)
2025-09-04 11:27:15,html_fetcher,https://marvel.fandom.com/wiki/Electron_(Imperial_Guard)_(Earth-616)/Gallery,404,client_error,HTTP 404
2025-09-04 11:27:15,html_fetcher,https://marvel.fandom.com/wiki/Electron_(Imperial_Guard)_(Earth-616)/Gallery,404,skipped,HTTP 404 (skipped)
2025-09-04 18:24:59,html_fetcher,https://marvel.fandom.com/wiki/Hawkeye_Comic_Books,0,request_exception,"HTTPSConnectionPool(host='marvel.fandom.com', port=443): Read timed out. (read timeout=30)"
2025-09-04 18:24:59,html_fetcher,https://marvel.fandom.com/wiki/Hawkeye_Comic_Books,0,skipped,"HTTPSConnectionPool(host='marvel.fandom.com', port=443): Read timed out. (read timeout=30) (skipped)"
2025-09-04 21:09:18,html_fetcher,https://marvel.fandom.com/wiki/Incredible_Hulk:_Return_of_the_Monster_Omnibus_Vol_1,503,request_exception,HTTP 503
2025-09-04 21:09:18,html_fetcher,https://marvel.fandom.com/wiki/Incredible_Hulk:_Return_of_the_Monster_Omnibus_Vol_1,503,skipped,HTTP 503 (skipped)
2025-09-04 23:46:22,html_fetcher,https://marvel.fandom.com/wiki/Jane_Foster_Comic_Books,503,request_exception,HTTP 503
2025-09-04 23:46:22,html_fetcher,https://marvel.fandom.com/wiki/Jane_Foster_Comic_Books,503,skipped,HTTP 503 (skipped)
2025-09-05 06:13:50,html_fetcher,https://marvel.fandom.com/wiki/M%26Ms_Comic_Books,503,request_exception,HTTP 503
2025-09-05 06:13:50,html_fetcher,https://marvel.fandom.com/wiki/M%26Ms_Comic_Books,503,skipped,HTTP 503 (skipped)
2025-09-05 13:01:23,html_fetcher,https://marvel.fandom.com/wiki/Miracleman_Comic_Books,0,request_exception,"HTTPSConnectionPool(host='marvel.fandom.com', port=443): Read timed out. (read timeout=30)"
2025-09-05 13:01:23,html_fetcher,https://marvel.fandom.com/wiki/Miracleman_Comic_Books,0,skipped,"HTTPSConnectionPool(host='marvel.fandom.com', port=443): Read timed out. (read timeout=30) (skipped)"
2025-09-05 14:38:22,html_fetcher,https://marvel.fandom.com/wiki/Myrddin_(Earth-616)/Gallery,404,client_error,HTTP 404
2025-09-05 14:38:22,html_fetcher,https://marvel.fandom.com/wiki/Myrddin_(Earth-616)/Gallery,404,skipped,HTTP 404 (skipped)
2025-09-05 17:18:58,html_fetcher,https://marvel.fandom.com/wiki/Official_Index_to_the_Marvel_Universe,0,request_exception,"HTTPSConnectionPool(host='marvel.fandom.com', port=443): Read timed out. (read timeout=30)"
2025-09-05 17:18:58,html_fetcher,https://marvel.fandom.com/wiki/Official_Index_to_the_Marvel_Universe,0,skipped,"HTTPSConnectionPool(host='marvel.fandom.com', port=443): Read timed out. (read timeout=30) (skipped)"
2025-09-05 21:31:07,html_fetcher,https://marvel.fandom.com/wiki/Quicksilver_Comic_Books,503,request_exception,HTTP 503
2025-09-05 21:31:07,html_fetcher,https://marvel.fandom.com/wiki/Quicksilver_Comic_Books,503,skipped,HTTP 503 (skipped)
